iter	Logloss
0	0.6773192712
1	0.6616568723
2	0.6473534258
3	0.6337318721
4	0.62073142
5	0.6084067491
6	0.5960968065
7	0.5848699218
8	0.574082521
9	0.5639015948
10	0.5541669564
11	0.5448808994
12	0.5359061795
13	0.5273696813
14	0.5190941735
15	0.5112034471
16	0.5030017839
17	0.4958047336
18	0.4883063803
19	0.4815425316
20	0.4746828958
21	0.4680202745
22	0.4615846614
23	0.4558855553
24	0.4503736939
25	0.4450784635
26	0.4400050553
27	0.4350660993
28	0.430391419
29	0.4258677189
30	0.4215852385
31	0.416894254
32	0.4128439288
33	0.4089457838
34	0.4051773774
35	0.4015871607
36	0.3980517776
37	0.3946675782
38	0.3908327893
39	0.3871683091
40	0.383633122
41	0.380625095
42	0.37781319
43	0.3750175094
44	0.371889469
45	0.3688608117
46	0.3664428231
47	0.3640232856
48	0.3616643138
49	0.3593676742
50	0.3567706135
51	0.3546204119
52	0.3525619529
53	0.3505580723
54	0.3483529686
55	0.3464486209
56	0.3443870797
57	0.3422062833
58	0.3405368306
59	0.3388531295
60	0.3369345533
61	0.3353686128
62	0.3338112405
63	0.3319666905
64	0.3302246612
65	0.3288833331
66	0.3276278655
67	0.3259579507
68	0.3244649921
69	0.3231923009
70	0.3219536536
71	0.3207974169
72	0.3190415345
73	0.3170853126
74	0.3154705742
75	0.3139235603
76	0.3123789587
77	0.3109449133
78	0.3095919407
79	0.3082916533
80	0.3070287822
81	0.305510276
82	0.3042545074
83	0.3028434106
84	0.3017501147
85	0.3006936195
86	0.2993844066
87	0.2984119087
88	0.2973756705
89	0.2964368742
90	0.2955563365
91	0.2947133976
92	0.293674495
93	0.2928515564
94	0.2920391895
95	0.2913566887
96	0.2906906987
97	0.2899507412
98	0.2889931449
99	0.2882521525
100	0.287656935
101	0.2870887568
102	0.2864362677
103	0.2858713279
104	0.2852149447
105	0.2844359001
106	0.2838326629
107	0.2832221295
108	0.2826761802
109	0.2821441291
110	0.281607633
