iter	Passed	Remaining
0	55	6084
1	106	5803
2	158	5722
3	213	5703
4	268	5700
5	327	5723
6	410	6091
7	467	6019
8	525	5958
9	586	5927
10	644	5857
11	706	5826
12	759	5722
13	816	5654
14	882	5650
15	940	5583
16	1000	5534
17	1058	5471
18	1116	5406
19	1171	5329
20	1229	5267
21	1288	5213
22	1350	5168
23	1412	5119
24	1473	5068
25	1529	4999
26	1578	4909
27	1631	4835
28	1689	4776
29	1748	4720
30	1804	4657
31	1854	4577
32	1910	4515
33	1970	4462
34	2023	4393
35	2075	4324
36	2131	4263
37	2190	4208
38	2248	4151
39	2305	4093
40	2361	4031
41	2414	3966
42	2472	3909
43	2525	3846
44	2583	3789
45	2639	3729
46	2693	3667
47	2748	3606
48	2816	3563
49	2874	3506
50	2928	3445
51	2985	3387
52	3039	3325
53	3090	3261
54	3144	3201
55	3201	3144
56	3260	3088
57	3316	3030
58	3369	2969
59	3422	2909
60	3476	2849
61	3533	2792
62	3586	2732
63	3641	2674
64	3695	2615
65	3753	2559
66	3807	2500
67	3860	2440
68	3910	2380
69	3962	2320
70	4014	2261
71	4064	2201
72	4115	2142
73	4166	2083
74	4215	2023
75	4266	1964
76	4315	1905
77	4369	1848
78	4422	1791
79	4477	1735
80	4530	1678
81	4583	1620
82	4636	1564
83	4690	1507
84	4744	1451
85	4800	1395
86	4856	1339
87	4908	1282
88	4962	1226
89	5017	1170
90	5075	1115
91	5129	1059
92	5182	1002
93	5238	947
94	5296	892
95	5351	836
96	5410	780
97	5465	725
98	5518	668
99	5574	613
100	5630	557
101	5687	501
102	5742	446
103	5825	392
104	5883	336
105	5937	280
106	5991	223
107	6045	167
108	6100	111
109	6152	55
110	6205	0
